Id_entrevista,Preocupacion_principal_acerca_del_agua,Causas_principales,Consecuencias,Acciones_y_Actores_que_realizan_dichas_acciones
DF012015_GOB,"Abastecimiento de agua
Inundaciones en comunidades
Mala calidad del agua
Fugas en la red","Falta de inversión en infraestructura
Urbanización sin servicios
Asentamientos en zonas de riesgo
Problemas de planificación urbana","Costos altos de vivienda
Escasez de agua en colonias
Problemas de salud por calidad
Conflictos por acceso al agua","Gobierno: Inversión en infraestructura hidráulica
CONAGUA: Desarrollo de plantas potabilizadoras
Delegaciones: Manejo de presupuestos autónomos
No especificado: Proyectos de rehabilitación de redes"
DF012815_ACA,"Escasez de agua
Inundaciones en la ciudad
Mala calidad del agua
Tandeo en las colonias","Crecimiento descontrolado de la ciudad
Asentamientos irregulares
Fugas en la red de agua
Falta de infraestructura adecuada","Conflictos por acceso al agua
Daños a la salud
Desigualdad en el acceso al agua
Pérdidas económicas por escasez","SACMEX: Provee agua a la ciudad
Gobierno local: Regula el tandeo de agua
Vecinos: Organizan protestas por agua
No especificado: Traen agua de otras cuencas"
DF013015_ACA,"Escasez de agua
Mala calidad del agua
Falta de coordinación institucional
Inundaciones en Iztapalapa","Sobreexplotación del acuífero
Falta de planeación urbana
Corrupción en permisos
Desigualdad en el acceso al agua","Grietas en viviendas
Costos altos por agua
Conflictos entre vecinos
Deterioro de la salud","Movimiento Urbano Popular: Gestiona servicios básicos
Gobierno: Implementa programas de mejoramiento
SACMEX: Distribuye agua a colonias
Vecinos: Organizan marchas por agua"
DF020415_ACA,"Riesgo hídrico en la ciudad
Calidad de vida
Acceso a bienes urbanos
Construcción del hábitat","Política de desarrollo urbano
Inversión privada en vivienda
Corrupción en construcción
Falta de coordinación institucional","Alteración del medio ambiente
Aumento de riesgo en asentamientos
Desigualdad en acceso a servicios
Conflictos por uso de suelo","Movimientos urbanos: Proponen cambios en políticas
ONGs de vivienda: Asesoran en proyectos urbanos
Gobierno del D.F: Implementa programas de vivienda
Organizaciones vecinales: Denuncian afectaciones ambientales"
DF021215_ACA,"Escasez de agua
Inundaciones por urbanización
Calidad del agua
Asentamientos humanos irregulares","Intereses inmobiliarios
Descoordinación institucional
Asentamientos humanos irregulares
Fugas en la red de agua","Problemas de salud
Conflictos por agua
Gentrificación de zonas
Desigualdad en acceso a agua","Sistema de Aguas de la Ciudad de México: Gestiona distribución de agua
ONGs: Implementan proyectos de captación de agua
Vecinos: Organizan filtración de agua
Instituciones comunitarias: Fortalecen gestión de recursos"
DF021815_ACA,"Mala calidad del agua
Inundaciones en Iztapalapa
Escasez de agua
Fugas en la red","Corrupción en el sistema
Falta de mantenimiento en drenajes
Crecimiento urbano descontrolado
Desigualdad en distribución de agua","Desconfianza en el agua potable
Afectaciones a la salud
Inundaciones recurrentes
Conflictos entre comunidades","Sistemas de Aguas: Controla la distribución de agua
Gobierno: Negocia con desarrolladores inmobiliarios
Vecinos: Protestan por falta de agua
Organizaciones civiles: Demandan calidad del agua"
DF022515_ACA,"Escasez de agua
Inundaciones en ciertas zonas
Complejidad del sistema hídrico","Población flotante
Fuentes de abastecimiento diversas
Acuífero metropolitano limitado","Crisis del agua en zonas
Riesgo hídrico en ciertas áreas",
DF022615_ACA,"Escasez de agua en Iztapalapa
Contaminación del agua
Fugas en la red
Inundaciones en épocas de lluvia","Falta de interés del gobierno
Corrupción en la distribución
Urbanización y asentamientos irregulares
Uso de aguas negras para riego","Quejas de vecinos por agua
Problemas de salud por contaminación
Desperdicio de agua en pipas
Conflictos por acceso al agua","Gobierno: Plantea problemas de agua
Vecinos: Almacenan agua en cisternas
Organización REDES: Promueve restauración ecológica
UAM-Xochimilco: Programa de desalinización de parcelas"
DF031215_ACA,"Inundaciones en Iztapalapa
Escasez de agua en colonias
Mala calidad del agua
Distribución desigual del agua","Construcción vertical desmedida
Fugas en la red
Asentamientos irregulares
Falta de infraestructura hidráulica","Daños a la vivienda
Conflictos por el agua
Desabasto en colonias populares
Grietas en viviendas","Protección Civil: Actúa en inundaciones
Vecinos: Almacenan agua en tambos
SACMEX: Provee agua a colonias
Secretaría de Medio Ambiente: Defiende obras que afectan el agua"
DF042115_GOB,"Abastecimiento de agua
Calidad del agua
Inundaciones en la ciudad
Crecimiento poblacional descontrolado","Crecimiento de la población
Extracción de acuíferos
Construcción desmedida
Falta de mantenimiento en infraestructura","Afectaciones a la salud
Enfermedades respiratorias
Problemas de higiene
Conflictos por escasez de agua","Gobierno del DF: Construcción de lagunas de regulación
Cenapred: Instalación de estaciones meteorológicas
Gobierno del DF: Mantenimiento del drenaje profundo
Conagua: Monitoreo de calidad del agua"
DF042215_GOB,"Inundaciones en zonas urbanas
Escasez de información sobre inundaciones
Mala calidad del drenaje
Cambio climático y lluvias intensas","Basura en drenajes
Falta de mantenimiento en drenajes
Crecimiento urbano descontrolado
Asentamientos en zonas vulnerables","Daños a la infraestructura
Afectaciones a la movilidad
Pérdidas humanas por inundaciones
Confusión en la población sobre riesgos","Cenapred: Elabora mapas de inundación
Protección Civil: Emite recomendaciones para prevención
SACMEX: Proporciona datos sobre inundaciones
Sedartu: Financia atlas de riesgos"
DF042415_GOB,"Inundaciones en la Ciudad
Escasez de agua
Calidad del agua
Enfermedades derivadas del agua","Infraestructura insuficiente
Cambio climático
Asentamientos irregulares
Falta de acceso a servicios","Enfermedades de la piel
Infecciones gastrointestinales
Subregistro de enfermedades
Dificultades en la recuperación","Secretaría de Salud: Proporciona agua potable embotellada
Protección Civil: Emite recomendaciones de salud
Ejército: Evacua a la población afectada
Salud: Realiza campañas de prevención"
DF111814_GOB,"Suministro de agua
Escasez en temporada seca
Demanda excesiva de agua
Contaminación del agua","Crecimiento de la población
Uso abusivo del agua
Falta de cultura del agua
Crecimiento urbano desmedido","Escasez de agua en comunidades
Conflictos por el agua
Afectación a la salud
Desarrollo urbano descontrolado","CORENA: Incentiva conservación del suelo
Sistema de Aguas: Maneja suministro de agua
Secretaría de Medio Ambiente: Otorga apoyos económicos
Comunidades: Mantienen áreas de humedad"
I021415_OTR,"Abastecimiento de agua
Mala calidad del agua
Tandeo en la distribución
Corrupción en el manejo del agua","Asentamientos irregulares
Falta de mantenimiento en la red
Corrupción en la distribución
Políticas públicas inadecuadas","Problemas de salud en niños
Desperdicio de agua
Conflictos por el agua
Dificultades en el transporte","Vecinos: Protestan por el agua
Organizaciones civiles: Defienden el derecho al agua
Delegación Iztapalapa: Instala pozos de absorción
No especificado: Condonan pagos de agua"
I032615_OTR,"Mala calidad del agua
Escasez de agua
Inundaciones en la ciudad
Hundimientos y grietas","Crecimiento de la población
Mala gestión del agua
Antigüedad de la red hidráulica
Urbanización descontrolada","Menor abastecimiento de agua
Mejor calidad de vida demeritada
Conflictos por el suministro
Riesgos en viviendas por grietas","Protección Civil: Atiende problemas de grietas
Vecinos: Forman comités de grietas
Gobierno del DF: Instala plantas potabilizadoras
Organizaciones civiles: Proponen alternativas sustentables"
I032615_OTR_1RA_PARTE,"Mala calidad del agua
Inundaciones en la zona
Fugas en la red
Escasez de agua potable","Infraestructura hidráulica obsoleta
Desperdicio de agua por fugas
Pavimentación excesiva
Falta de infiltración de agua","Grietas en viviendas
Problemas de salud
Dependencia de pipas
Contaminación del agua","Vecinos: Construyen cisternas de ferrocemento
Organizaciones civiles: Promueven captación de agua
Gobierno: Implementa programas de infraestructura
CONAGUA: Maneja pozos de extracción"
MC031915_OTR,"Escasez de agua
Tandeo en el suministro
Fugas en la red
Calidad del agua","Urbanización descontrolada
Tuberías viejas
Falta de mantenimiento
Expropiación de tierras","Dificultad para obtener agua
Compra de agua en pipas
Conflictos por el agua
Desperdicio de agua","Delegación: Controla el tandeo de agua
Sistema de Aguas: Repara fugas en la red
Ejidatarios: Captan agua de lluvia
Gobierno: Proporciona recursos para proyectos"
MC032415_GOB,"Escasez de agua
Fugas en la red
Mala calidad del agua
Inundaciones por basura","Tuberías viejas y dañadas
Deforestación y tala clandestina
Falta de reforestación
Basura en ríos y cauces","Desabasto de agua
Contaminación del agua
Inundaciones en viviendas
Conflictos por percepción de agua","Sistema de Aguas: Sustitución de tuberías viejas
Delegación: Limpieza de cauces y ríos
Comunidades: Participación en reforestación
No especificado: Monitoreo de calidad del agua"
MC032515_GOB,"Deslizamientos de talud
Inundaciones en asentamientos
Contaminación del agua
Cortes en cerros","Asentamientos irregulares
Corte de árboles
Terraceo de cerros
Mala canalización de agua","Daños a viviendas
Riesgo para la salud
Desbordamientos de barrancas
Deterioro del suelo","Protección Civil: Notifica a vecinos en riesgo
Ecología: Realiza podas de árboles
Tenencia de la Tierra: Evita crecimiento de asentamientos
SACMEX: Limpia drenajes y coladeras"
X011915_GOB,"Contaminación de los canales
Inundaciones en la zona
Escasez de agua potable
Hundimiento de chinampas","Descargas de aguas residuales
Falta de infraestructura de drenaje
Asentamientos irregulares
Corrupción en la gestión","Daños a la salud pública
Pérdida de biodiversidad
Conflictos sociales por agua
Contaminación del agua","Sistemas de Aguas de la Ciudad de México: Monitorea calidad del agua
Gobierno del Distrito Federal: Implementa programas de limpieza
SEDEREC: Financia proyectos de conservación
Vecinos: Participan en limpieza de canales"
X022415_ACA,"Escasez de agua
Contaminación de fuentes
Inundaciones en zonas urbanas
Acceso desigual al agua","Extracción de acuíferos
Asentamientos irregulares
Falta de regulación en uso de agua
Urbanización descontrolada","Deterioro de ríos
Conflictos por acceso al agua
Impacto en la salud pública
Desplazamiento de comunidades","SACMEX: Administra el sistema de agua
Comisión de Cuenca: Regula el uso de agua
Organizaciones civiles: Promueven la educación ambiental
Gobierno del D.F: Implementa políticas de agua"
X022415_GOB,"Calidad del agua
Escasez de agua
Contaminación por invernaderos
Inundaciones en asentamientos irregulares","Fugas en la red
Asentamientos irregulares
Contaminación por agroquímicos
Hundimientos diferenciales","Daños a la salud
Pérdidas económicas en producción
Deterioro del ecosistema
Impacto negativo en turismo","Autoridad de la Zona Patrimonio: Coordina esfuerzos con académicos
Productores: Implementan tratamientos de agua
Instituto de Biología de la UNAM: Colabora en proyectos de conservación
SACMEX: Maneja el suministro de agua"
X042315_GOB,"Escasez de agua
Inundaciones en la zona
Contaminación del agua
Hundimientos diferenciales","Explotación de acuíferos
Asentamientos irregulares
Fugas en la red
Falta de mantenimiento en coladeras","Daños a la salud
Conflictos entre vecinos
Costos por comprar agua
Pérdida de tierras productivas","SEMARNAT: Registro de humedales como RAMSAR
Autoridades locales: Implementan programas de conservación
Chinamperos: Mantienen la producción agrícola
Gobierno francés: Financia proyectos de infraestructura"
