Id_entrevista,Preocupacion_principal_acerca_del_agua,Causas_principales,Consecuencias,Acciones_y_Actores_que_realizan_dichas_acciones,Actores
DF012015_GOB,"Abastecimiento de agua
Inundaciones en comunidades
Mala calidad del agua
Fugas en la red","Falta de inversión en infraestructura
Falta de acceso a servicios
Asentamientos en zonas de riesgo
Falta de planeación urbana","Costos altos de vivienda
Escasez de agua en colonias
Afectaciones a la salud
Conflictos por acceso al agua","Gobierno: Inversión en infraestructura hidráulica
CONAGUA: Desarrollo de plantas potabilizadoras
Delegaciones: Manejo de presupuestos autónomos
No especificado: Original","Gobierno
CONAGUA
Delegaciones
No especificado"
DF012815_ACA,"Escasez de agua
Inundaciones en la ciudad
Mala calidad del agua
Tandeo en las colonias","Crecimiento descontrolado de la ciudad
Asentamientos irregulares
Fugas en la red de agua
Falta de infraestructura adecuada","Conflictos por acceso al agua
Daños a la salud
Desigualdad en acceso a agua
Original","SACMEX: Original
Gobierno local: Control del tandeo de agua
Vecinos: Organización de marchas por agua
No especificado: Original","SACMEX
Gobierno local
Vecinos
No especificado"
DF013015_ACA,"Escasez de agua
Mala calidad del agua
Falta de coordinación institucional
Inundaciones en Iztapalapa","Explotación de acuíferos
Falta de planeación urbana
Corrupción en permisos
Desigualdad en el acceso al agua","Grietas en viviendas
Costos altos por agua
Conflictos entre vecinos
Deterioro de la salud","Movimiento Urbano Popular: Gestión de servicios básicos
Gobierno: Implementación de programas de mejoramiento
SACMEX: Distribución de agua a colonias
Vecinos: Organización de marchas por agua","Movimiento Urbano Popular
Gobierno
SACMEX
Vecinos"
DF020415_ACA,"Riesgo hídrico en la ciudad
Calidad de vida
Acceso a bienes urbanos
Construcción del hábitat","Falta de planeación urbana
Inversión privada en vivienda
Corrupción en construcción
Falta de coordinación institucional","Alteración del medio ambiente
Aumento de riesgo en asentamientos
Desigualdad en acceso a servicios
Conflictos por uso de suelo","Movimientos urbanos: Original
ONGs de vivienda: Asesoría en proyectos urbanos
Gobierno del Distrito Federal: Implementación de programas de vivienda
Organizaciones vecinales: Denuncia de afectaciones ambientales","Movimientos urbanos
ONGs de vivienda
Gobierno del Distrito Federal
Organizaciones vecinales"
DF021215_ACA,"Escasez de agua
Inundaciones por urbanización
Calidad del agua
Asentamientos humanos irregulares","Intereses inmobiliarios
Descoordinación institucional
Asentamientos humanos irregulares
Fugas en la red de agua","Afectaciones a la salud
Conflictos por agua
Gentrificación de zonas
Desigualdad en acceso a agua","Sistema de Aguas de la Ciudad de México: Gestión de distribución de agua
ONGs: Implementación de proyectos de captación de agua
Vecinos: Organización de filtración de agua
Instituciones comunitarias: Fortalecimiento de gestión de recursos","Sistema de Aguas de la Ciudad de México
ONGs
Vecinos
Instituciones comunitarias"
DF021815_ACA,"Mala calidad del agua
Inundaciones en Iztapalapa
Escasez de agua
Fugas en la red","Corrupción en el sistema
Falta de mantenimiento en drenajes
Crecimiento urbano descontrolado
Desigualdad en distribución de agua","Desconfianza en el agua potable
Afectaciones a la salud
Inundaciones recurrentes
Conflictos entre comunidades","Sistemas de Aguas: Control de la distribución de agua
Gobierno: Negociación con desarrolladores inmobiliarios
Vecinos: Organización de marchas por agua
Organizaciones civiles: Demanda de calidad del agua","Sistemas de Aguas
Gobierno
Vecinos
Organizaciones civiles"
DF022515_ACA,"Escasez de agua
Inundaciones en ciertas zonas
Complejidad del sistema hídrico","Población flotante
Fuentes de abastecimiento diversas
Acuífero metropolitano limitado","Crisis del agua en zonas
Original",,
DF022615_ACA,"Escasez de agua en Iztapalapa
Contaminación del agua
Fugas en la red
Inundaciones en épocas de lluvia","Falta de interés del gobierno
Corrupción en la distribución
Asentamientos humanos irregulares
Descargas de aguas residuales","Conflictos entre vecinos
Afectaciones a la salud
Desperdicio de agua en pipas
Conflictos por acceso al agua","Gobierno: Original
Vecinos: Almacenamiento de agua en cisternas
Organización REDES: Original
UAM-Xochimilco: Original","Gobierno
Vecinos
Organización REDES
UAM-Xochimilco"
DF031215_ACA,"Inundaciones en Iztapalapa
Escasez de agua en colonias
Mala calidad del agua
Distribución desigual del agua","Construcción vertical desmedida
Fugas en la red
Asentamientos irregulares
Falta de infraestructura hidráulica","Daños a la vivienda
Conflictos por agua
Desabasto en colonias populares
Grietas en viviendas","Protección Civil: Acciones frente a inundaciones
Vecinos: Almacenamiento de agua en tambos
SACMEX: Distribución de agua a colonias
Secretaría de Medio Ambiente: Defensa de obras que afectan el agua","Protección Civil
Vecinos
SACMEX
Secretaría de Medio Ambiente"
DF042115_GOB,"Abastecimiento de agua
Calidad del agua
Inundaciones en la ciudad
Crecimiento poblacional descontrolado","Crecimiento de la población
Extracción de acuíferos
Construcción desmedida
Falta de mantenimiento en infraestructura","Afectaciones a la salud
Enfermedades respiratorias
Problemas de higiene
Conflictos por escasez de agua","Gobierno del Distrito Federal: Construcción de lagunas de regulación
Cenapred: Instalación de estaciones meteorológicas
Gobierno del Distrito Federal: Mantenimiento del drenaje profundo
CONAGUA: Monitoreo de calidad del agua","Gobierno del Distrito Federal
Cenapred
CONAGUA"
